Thanksgiving	Year
24	2011
22	2012
28	2013
27	2014
26	2015
24	2016
23	2017
22	2018
28	2019
26	2020
25	2021
24	2022
23	2023
28	2024
27	2025
26	2026
25	2027
23	2028
22	2029
28	2030
27	2031
25	2032
24	2033
23	2034
22	2035
27	2036
26	2037
25	2038
24	2039
22	2040
28	2041
27	2042
26	2043
24	2044
23	2045
22	2046
28	2047
26	2048
25	2049
24	2050
23	2051
28	2052
27	2053
26	2054
25	2055
23	2056
22	2057
28	2058
27	2059
25	2060
24	2061
23	2062
22	2063
27	2064
26	2065
25	2066
24	2067
22	2068
28	2069
27	2070
26	2071
24	2072
23	2073
22	2074
28	2075
26	2076
25	2077
24	2078
23	2079
28	2080
27	2081
26	2082
